## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2020-12-04T14:31:38.302Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 15 May 2011, University of Victoria, Canada, Downloaded on 4 Dec 2020"  / Citation Title
#METADATF:  FolgerPassage_FolgerPinnacle_AcousticDopplerCurrentProfiler600kHz_Temperature_20110515T000000Z_20110515T235957Z-NaN_clean_CSV_META.pdf  / Metadata file name
#SEARCHID:  16180266                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-NortheastPacificOcean-FolgerPassage-FolgerPinnacle  / Station Name 
#STNCODE:   FGPPN                                / Station Code 
#LATITUDE:     48.808292                         / Latitude North
#LONGITUDE:  -125.281500                         / Longitude East
#DEPTH:        25.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Acoustic Doppler Current Profiler 600 kHz  / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2011-05-15T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "RDI Workhorse Monitor ADCP 600 kHz (9256)"  / Device Name of Device 1
#DEVCODE1:  RDIADCP600WH9256                     / Device Code of Device 1
#DEVID1:    22611                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-05-15T00:00:00.332Z             / Data Start Time
#DATETO:    2011-05-15T23:59:57.521Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2010-09-30T19:09:48.000Z             / Sample Period 1 Start Time
#PERIOD1:   10                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: "No resampling"                      / Resample Period (s)
#RESAMPTYP: "No resampling"                      / Resample Type
#RESAMPMIN: "No resampling"  / Minimum percent valid data per resample
#RESAMPDCR: "No resampling"                      / Resample Description
#TOTSAMPLE: 8245                                 / Samples in File
#TOTSMPEXP: 8640                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag"  
## END HEADER
2011-05-15T00:00:00.332Z, 9.03, 0
2011-05-15T00:00:11.025Z, 9.01, 0
2011-05-15T00:00:21.715Z, 9.03, 0
2011-05-15T00:00:32.404Z, 9.01, 0
2011-05-15T00:00:43.093Z, 9.01, 0
2011-05-15T00:00:53.783Z, 9.01, 0
2011-05-15T00:01:04.475Z, 8.99, 0
2011-05-15T00:01:15.161Z, 9, 0
2011-05-15T00:01:25.851Z, 8.99, 0
2011-05-15T00:01:36.545Z, 8.98, 0
2011-05-15T00:01:47.232Z, 8.97, 0
2011-05-15T00:01:57.922Z, 8.98, 0
2011-05-15T00:02:08.612Z, 8.96, 0
2011-05-15T00:02:19.303Z, 8.94, 0
2011-05-15T00:02:29.995Z, 8.95, 0
2011-05-15T00:02:40.683Z, 8.96, 0
2011-05-15T00:02:51.373Z, 8.93, 0
2011-05-15T00:03:02.065Z, 8.95, 0
2011-05-15T00:03:12.755Z, 8.94, 0
2011-05-15T00:03:23.442Z, 8.92, 0
2011-05-15T00:03:34.135Z, 8.94, 0
2011-05-15T00:03:44.822Z, 8.93, 0
2011-05-15T00:03:55.514Z, 8.91, 0
2011-05-15T00:04:06.203Z, 8.92, 0
2011-05-15T00:04:16.891Z, 8.9, 0
2011-05-15T00:04:27.585Z, 8.9, 0
2011-05-15T00:04:38.273Z, 8.89, 0
2011-05-15T00:04:48.964Z, 8.92, 0
2011-05-15T00:04:59.652Z, 8.91, 0
2011-05-15T00:05:10.342Z, 8.93, 0
2011-05-15T00:05:21.031Z, 8.93, 0
2011-05-15T00:05:31.723Z, 8.88, 0
2011-05-15T00:05:42.413Z, 8.92, 0
2011-05-15T00:05:53.104Z, 8.93, 0
2011-05-15T00:06:03.792Z, 8.9, 0
2011-05-15T00:06:14.482Z, 8.89, 0
2011-05-15T00:06:25.172Z, 8.91, 0
2011-05-15T00:06:35.863Z, 8.91, 0
2011-05-15T00:06:46.553Z, 8.89, 0
2011-05-15T00:06:57.243Z, 8.94, 0
2011-05-15T00:07:07.934Z, 8.93, 0
2011-05-15T00:07:18.622Z, 8.92, 0
2011-05-15T00:07:29.311Z, 8.92, 0
2011-05-15T00:07:40.002Z, 8.91, 0
2011-05-15T00:07:50.692Z, 8.93, 0
2011-05-15T00:08:01.383Z, 8.95, 0
2011-05-15T00:08:12.071Z, 8.93, 0
2011-05-15T00:08:22.762Z, 8.93, 0
2011-05-15T00:08:32.655Z, 8.94, 0
2011-05-15T00:08:42.657Z, 8.94, 0
2011-05-15T00:08:52.658Z, 8.94, 0
2011-05-15T00:09:02.655Z, 8.94, 0
2011-05-15T00:09:12.656Z, 8.93, 0
2011-05-15T00:09:22.657Z, 8.94, 0
2011-05-15T00:09:32.659Z, 8.92, 0
2011-05-15T00:09:42.657Z, 8.91, 0
2011-05-15T00:09:52.658Z, 8.94, 0
2011-05-15T00:10:02.659Z, 8.92, 0
2011-05-15T00:10:12.657Z, 8.94, 0
2011-05-15T00:10:22.658Z, 8.93, 0
2011-05-15T00:10:32.656Z, 8.93, 0
2011-05-15T00:10:42.658Z, 8.93, 0
